"id","symbol","name","type","current_price","preclose_price","account","portfolio","quantity","avg_price","exchange","margin_ratio","point_value","target_symbol","updated_at","market_value_rate","equalled_market_value_rate","market_value","equalled_market_value","style","cost","delta","profit","daily_profit"
"1","sh518880","黄金ETF","etf","7.324","7.327","国信证券","动量轮动策略","73700.0","6.7788","1.0","1.0","1.0",,"2025-04-22 20:03:19","0.11914164170450282","0.07066385635575208","539778.8","539778.8","贵金属","499597.56000000006","1.0","40181.23999999996","-221.10000000000838"
"2","cash","国信证券余额","cash","1.0","1.0","国信证券","动量轮动策略","410.92","1.0","1.0","1.0","1.0",,"2025-04-22 20:03:19","0.00009069952989857011","0.000053794613374414926","410.92","410.92","现金","410.92","1.0","0.0","0.0"
"3","sh518880","黄金ETF","etf","7.324","7.327","华泰证券","动量轮动策略","73100.0","6.781","1.0","1.0","1.0",,"2025-04-22 20:03:19","0.11817169618180673","0.07008857394308651","535384.4","535384.4","贵金属","495691.1","1.0","39693.30000000001","-219.3000000000083"
"4","cash","华泰证券余额","cash","1.0","1.0","华泰证券","动量轮动策略","198.0","1.0","1.0","1.0","1.0",,"2025-04-22 20:03:19","0.00004370317073862767","0.000025920698549922506","198.0","198.0","现金","198.0","1.0","0.0","0.0","0.0"
"5","AG2506","白银期货2506","future","8146.0","8094.0","瑞达期货","金银轮动策略","3.0","7942.0","1.0","0.13","15.0",,"2025-04-22 20:03:19","0.01228118692988263","0.047988638724470165","55640.700000000004","366570.0","贵金属","46460.700000000004","1.0","9180.0","2340.0"
"6","IC2506","中证500股指期货2506","future","5437.4","5439.2","瑞达期货","ICIM轮动策略","2.0","5732.0","1.0","0.12","200.0","000905","2025-04-22 20:03:19","0.03471885830557157","0.284729709687573","157295.99999999985","2174960.0","权益资产","275136.0","1.0","-117840.00000000015","-720.0000000000728"
"7","M2505","豆粕期货2505","future","2934","2947.0","瑞达期货","豆粕网格策略","30.0","2794.0","1.0","0.07","10.0",,"2025-04-22 20:03:19","0.022221075812831323","0.11522928719011004","100674.0","880200.0","农产品","58674.00000000001","1.0","42000.0","-3900.0"
"8","cash","余额宝","cash","1.0","1.0","支付宝","风险平价资产配置","5076.49","1.0","1.0","1.0","1.0",,"2025-04-22 20:03:19","0.0011204985314289696","0.000664576600917657","5076.49","5076.49","现金","5076.49","1.0","0.0","0.0"
"9","021177","摩根中证A50ETF联接A","fund","1.075","1.0742","支付宝","风险平价资产配置","291107.89","1.0726","1.0","1.0","1.0","930050","2025-04-22 20:03:19","0.06907329877037381","0.0409679234942351","312940.98175","312940.98175","权益资产","312242.322814","1.0","698.6589359999878","232.88631199997437"
"10","008114","天弘红利低波100ETF联接A","fund","1.6454","1.6387","支付宝","风险平价资产配置","37980.9","1.6554","1.0","1.0","1.0","930955","2025-04-22 20:03:19","0.01379381831010907","0.00818122347248176","62493.77286","62493.772860000005","权益资产","62873.58186","1.0","-379.80900000000037","254.4720299999973"
